Date,Product,Category,Region,Quantity,Price
01-01-2024,Laptop,Electronics,North,2,50000
02-01-2024,Phone,Electronics,South,3,20000
03-01-2024,Tablet,Electronics,West,1,30000
04-01-2024,Headphones,Electronics,East,5,2000
05-01-2024,Shirt,Clothing,North,6,1200
06-01-2024,Jeans,Clothing,South,4,2500
07-01-2024,Jacket,Clothing,West,2,4000
08-01-2024,Shoes,Footwear,East,3,3000
09-01-2024,Sandals,Footwear,North,5,1500
10-01-2024,Watch,Accessories,South,2,7000
11-01-2024,Bag,Accessories,West,3,3500
12-01-2024,Sunglasses,Accessories,East,4,2000
01-02-2024,Laptop,Electronics,North,1,52000
02-02-2024,Phone,Electronics,South,2,21000
03-02-2024,Tablet,Electronics,West,2,29000
04-02-2024,Headphones,Electronics,East,6,1800
05-02-2024,Shirt,Clothing,North,7,1300
06-02-2024,Jeans,Clothing,South,5,2600
07-02-2024,Jacket,Clothing,West,3,4200
08-02-2024,Shoes,Footwear,East,4,3200
09-02-2024,Sandals,Footwear,North,6,1600
10-02-2024,Watch,Accessories,South,3,7200
11-02-2024,Bag,Accessories,West,2,3600
12-02-2024,Sunglasses,Accessories,East,5,2100
